case_id,target,left_run,right_run,retrieved_jaccard,common_retrieved_count,top_attribution_agrees,spearman_common,spearman_union_zero_filled
complementary_battery_electrodes,gold,bge_lexical,bge_target_ll,1.0,6,False,0.7142857142857143,0.7142857142857143
complementary_central_dogma_steps,gold,bge_lexical,bge_target_ll,1.0,6,True,0.08571428571428573,0.08571428571428573
complementary_curie_categories,gold,bge_lexical,bge_target_ll,1.0,6,False,0.7714285714285715,0.7714285714285715
complementary_great_lakes_countries,gold,bge_lexical,bge_target_ll,1.0,6,False,0.6,0.6
complementary_inner_rocky_planets,gold,bge_lexical,bge_target_ll,1.0,6,False,0.5428571428571429,0.5428571428571429
complementary_photosynthesis_inputs,gold,bge_lexical,bge_target_ll,1.0,6,True,0.7714285714285715,0.7714285714285715
complementary_rgb_primary_light,gold,bge_lexical,bge_target_ll,1.0,6,False,-0.08571428571428573,-0.08571428571428573
complementary_three_matter_states,gold,bge_lexical,bge_target_ll,1.0,6,True,0.6571428571428573,0.6571428571428573
complementary_versailles_allies,gold,bge_lexical,bge_target_ll,1.0,6,False,-0.08571428571428573,-0.08571428571428573
complementary_water_elements,gold,bge_lexical,bge_target_ll,1.0,6,True,-0.028571428571428574,-0.028571428571428574
conflict_australia_capital,gold,bge_lexical,bge_target_ll,1.0,6,True,0.6,0.6
conflict_closest_planet_sun,gold,bge_lexical,bge_target_ll,1.0,6,True,0.4285714285714286,0.4285714285714286
conflict_fever_threshold,gold,bge_lexical,bge_target_ll,1.0,6,True,0.5428571428571429,0.5428571428571429
conflict_human_heart_chambers,gold,bge_lexical,bge_target_ll,1.0,6,False,0.4285714285714286,0.4285714285714286
conflict_japan_currency,gold,bge_lexical,bge_target_ll,1.0,6,False,0.6571428571428573,0.6571428571428573
conflict_largest_planet,gold,bge_lexical,bge_target_ll,1.0,6,True,0.8857142857142858,0.8857142857142858
conflict_liter_to_milliliters,gold,bge_lexical,bge_target_ll,1.0,6,True,0.7714285714285715,0.7714285714285715
conflict_mona_lisa_artist,gold,bge_lexical,bge_target_ll,1.0,6,True,0.14285714285714288,0.14285714285714288
conflict_potassium_symbol,gold,bge_lexical,bge_target_ll,1.0,6,True,-0.028571428571428574,-0.028571428571428574
conflict_solar_system_center,gold,bge_lexical,bge_target_ll,1.0,6,True,0.3714285714285715,0.3714285714285715
conflict_water_boiling_point,gold,bge_lexical,bge_target_ll,1.0,6,True,0.7714285714285715,0.7714285714285715
direct_canada_capital,gold,bge_lexical,bge_target_ll,1.0,6,True,0.942857142857143,0.942857142857143
direct_dna_shape,gold,bge_lexical,bge_target_ll,1.0,6,True,0.8857142857142858,0.8857142857142858
direct_gravity_force,gold,bge_lexical,bge_target_ll,1.0,6,True,-0.08571428571428573,-0.08571428571428573
direct_hemoglobin_role,gold,bge_lexical,bge_target_ll,1.0,6,True,0.028571428571428574,0.028571428571428574
direct_highest_mountain,gold,bge_lexical,bge_target_ll,1.0,6,True,0.3714285714285715,0.3714285714285715
